@relation kddcup-guess_passwd_vs_satan
@attribute Atr-0 real [0.0, 58329.0]
@attribute Atr-1 {icmp, tcp, udp}
@attribute Atr-2 {auth, bgp, courier, csnet_ns, ctf, daytime, discard, domain, domain_u, echo, eco_i, ecr_i, efs, exec, finger, ftp, ftp_data, gopher, hostnames, http, http_443, imap4, IRC, iso_tsap, klogin, kshell, ldap, link, login, mtp, name, netbios_dgm, netbios_ns, netbios_ssn, netstat, nnsp, nntp, ntp_u, other, pm_dump, pop_2, pop_3, printer, private, red_i, remote_job, rje, shell, smtp, sql_net, ssh, sunrpc, supdup, systat, telnet, tftp_u, time, tim_i, urh_i, urp_i, uucp, uucp_path, vmnet, whois, X11, Z39_50}
@attribute Atr-3 {OTH, REJ, RSTO, RSTOS0, RSTR, S0, S1, S2, S3, SF, SH}
@attribute Atr-4 real [0.0, 6.9337564E8]
@attribute Atr-5 real [0.0, 5155468.0]
@attribute Atr-6 {0, 1}
@attribute Atr-7 {0, 1, 3}
@attribute Atr-8 {0, 1, 2, 3}
@attribute Atr-9 real [0.0, 30.0]
@attribute Atr-10 {0, 1, 2, 3, 4, 5}
@attribute Atr-11 {0, 1}
@attribute Atr-12 real [0.0, 884.0]
@attribute Atr-13 {0, 1}
@attribute Atr-14 {0, 1, 2}
@attribute Atr-15 real [0.0, 993.0]
@attribute Atr-16 real [0.0, 28.0]
@attribute Atr-17 {0, 1, 2}
@attribute Atr-18 {0, 1, 2, 3, 4, 6, 8}
@attribute Atr-19 {0}
@attribute Atr-20 {0}
@attribute Atr-21 {0, 1}
@attribute Atr-22 real [0.0, 511.0]
@attribute Atr-23 real [0.0, 511.0]
@attribute Atr-24 real [0.0, 1.0]
@attribute Atr-25 real [0.0, 1.0]
@attribute Atr-26 real [0.0, 1.0]
@attribute Atr-27 real [0.0, 1.0]
@attribute Atr-28 real [0.0, 1.0]
@attribute Atr-29 real [0.0, 1.0]
@attribute Atr-30 real [0.0, 1.0]
@attribute Atr-31 real [0.0, 255.0]
@attribute Atr-32 real [0.0, 255.0]
@attribute Atr-33 real [0.0, 1.0]
@attribute Atr-34 real [0.0, 1.0]
@attribute Atr-35 real [0.0, 1.0]
@attribute Atr-36 real [0.0, 1.0]
@attribute Atr-37 real [0.0, 1.0]
@attribute Atr-38 real [0.0, 1.0]
@attribute Atr-39 real [0.0, 1.0]
@attribute Atr-40 real [0.0, 1.0]
@attribute Class {positive, negative}
@inputs Atr-0, Atr-1, Atr-2, Atr-3, Atr-4, Atr-5, Atr-6, Atr-7, Atr-8, Atr-9, Atr-10, Atr-11, Atr-12, Atr-13, Atr-14, Atr-15, Atr-16, Atr-17, Atr-18, Atr-19, Atr-20, Atr-21, Atr-22, Atr-23, Atr-24, Atr-25, Atr-26, Atr-27, Atr-28, Atr-29, Atr-30, Atr-31, Atr-32, Atr-33, Atr-34, Atr-35, Atr-36, Atr-37, Atr-38, Atr-39, Atr-40
@outputs Class
@data
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 14.0, 14.0, 1.0, 0.0, 0.07, 0.0, 0.07, 0.07, 0.93, 0.93, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 16.0, 16.0, 1.0, 0.0, 0.06, 0.0, 0.06, 0.06, 0.94, 0.94, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 17.0, 17.0, 1.0, 0.0, 0.06, 0.0, 0.06, 0.06, 0.94, 0.94, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 18.0, 18.0, 1.0, 0.0, 0.06, 0.0, 0.06, 0.06, 0.94, 0.94, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 19.0, 19.0, 1.0, 0.0, 0.05, 0.0, 0.05, 0.05, 0.95, 0.95, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 20.0, 20.0, 1.0, 0.0, 0.05, 0.0, 0.05, 0.05, 0.95, 0.95, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 21.0, 21.0, 1.0, 0.0, 0.05, 0.0, 0.05, 0.05, 0.95, 0.95, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 22.0, 22.0, 1.0, 0.0, 0.05, 0.0, 0.05, 0.05, 0.95, 0.95, positive
60.0, tcp, telnet, S3, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.5, 0.5, 0.5, 0.5, 1.0, 0.0, 0.0, 23.0, 23.0, 1.0, 0.0, 0.04, 0.0, 0.09, 0.09, 0.91, 0.91, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 24.0, 24.0, 1.0, 0.0, 0.04, 0.0, 0.08, 0.08, 0.92, 0.92, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 25.0, 25.0, 1.0, 0.0, 0.04, 0.0, 0.08, 0.08, 0.92, 0.92, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 26.0, 26.0, 1.0, 0.0, 0.04, 0.0, 0.08, 0.08, 0.92, 0.92, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 27.0, 27.0, 1.0, 0.0, 0.04, 0.0, 0.07, 0.07, 0.93, 0.93, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 28.0, 28.0, 1.0, 0.0, 0.04, 0.0, 0.07, 0.07, 0.93, 0.93, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 30.0, 30.0, 1.0, 0.0, 0.03, 0.0, 0.07, 0.07, 0.93, 0.93, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 31.0, 31.0, 1.0, 0.0, 0.03, 0.0, 0.06, 0.06, 0.94, 0.94, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 32.0, 32.0, 1.0, 0.0, 0.03, 0.0, 0.06, 0.06, 0.94, 0.94, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 33.0, 33.0, 1.0, 0.0, 0.03, 0.0, 0.06, 0.06, 0.94, 0.94, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 35.0, 35.0, 1.0, 0.0, 0.03, 0.0, 0.06, 0.06, 0.94, 0.94, positive
0.0, tcp, telnet, RSTR, 126.0, 179.0, 0, 0, 0, 2.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 36.0, 36.0, 1.0, 0.0, 0.03, 0.0, 0.06, 0.06, 0.94, 0.94, positive
0.0, tcp, telnet, RSTR, 126.0, 179.0, 0, 0, 0, 2.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 37.0, 37.0, 1.0, 0.0, 0.05, 0.0, 0.05, 0.05, 0.95, 0.95, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 39.0, 39.0, 1.0, 0.0, 0.03, 0.0, 0.05, 0.05, 0.95, 0.95, positive
0.0, tcp, telnet, RSTR, 126.0, 179.0, 0, 0, 0, 2.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 40.0, 40.0, 1.0, 0.0, 0.03, 0.0, 0.05, 0.05, 0.95, 0.95, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 42.0, 42.0, 1.0, 0.0, 0.02, 0.0, 0.05, 0.05, 0.95, 0.95, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 43.0, 43.0, 1.0, 0.0, 0.02, 0.0, 0.05, 0.05, 0.95, 0.95, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 44.0, 44.0, 1.0, 0.0, 0.02, 0.0, 0.05, 0.05, 0.95, 0.95, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 45.0, 45.0, 1.0, 0.0, 0.02, 0.0, 0.04, 0.04, 0.96, 0.96, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 46.0, 46.0, 1.0, 0.0, 0.02, 0.0, 0.04, 0.04, 0.96, 0.96, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 47.0, 47.0, 1.0, 0.0, 0.02, 0.0, 0.04, 0.04, 0.96, 0.96, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 49.0, 49.0, 1.0, 0.0, 0.02, 0.0, 0.04, 0.04, 0.96, 0.96, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 50.0, 50.0, 1.0, 0.0, 0.02, 0.0, 0.04, 0.04, 0.96, 0.96, positive
0.0, tcp, telnet, RSTO, 126.0, 179.0, 0, 0, 0, 1.0, 1, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 51.0, 51.0, 1.0, 0.0, 0.02, 0.0, 0.04, 0.04, 0.96, 0.96, positive
1.0, tcp, telnet, SF, 123.0, 2053.0, 0, 0, 0, 1.0, 0, 1, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 1, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 52.0, 52.0, 1.0, 0.0, 0.02, 0.0, 0.04, 0.04, 0.94, 0.94, positive
3.0, tcp, telnet, SF, 54.0, 114.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 7.0, 1.0, 0.0, 0.0, 0.29, 0.0, 0.14, 0.71, 0.0, 160.0, 29.0, 0.18, 0.08, 0.01, 0.0, 0.01, 0.03, 0.01, 0.0, negative
0.0, icmp, eco_i, SF, 20.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 1.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, negative
0.0, tcp, uucp, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 1.0, 0.0, 0.0, 0.33, 1.0, 0.33, 1.0, 0.0, 255.0, 1.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, negative
0.0, tcp, hostnames, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 9.0, 1.0, 0.0, 0.0, 0.89, 1.0, 0.11, 1.0, 0.0, 255.0, 1.0, 0.0, 0.07, 0.0, 0.0, 0.0, 0.0, 0.04, 1.0, negative
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 19.0, 1.0, 0.0, 0.0, 0.89, 1.0, 0.05, 1.0, 0.0, 255.0, 1.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.07, 1.0, negative
0.0, tcp, http, S2, 6.0, 144.0, 0, 0, 0, 1.0, 0, 1, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 29.0, 1.0, 0.03, 1.0, 0.9, 0.0, 0.03, 1.0, 0.0, 255.0, 206.0, 0.81, 0.15, 0.0, 0.0, 0.0, 0.0, 0.11, 0.0, negative
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 49.0, 1.0, 0.02, 0.0, 0.9, 1.0, 0.02, 1.0, 0.0, 255.0, 1.0, 0.0, 0.22, 0.0, 0.0, 0.0, 0.0, 0.18, 1.0, negative
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 59.0, 1.0, 0.02, 0.0, 0.92, 1.0, 0.02, 1.0, 0.0, 255.0, 1.0, 0.0, 0.26, 0.0, 0.0, 0.0, 0.0, 0.22, 1.0, negative
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 69.0, 1.0, 0.01, 0.0, 0.93, 1.0, 0.01, 1.0, 0.0, 255.0, 1.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.26, 1.0, negative
0.0, tcp, ftp_data, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 89.0, 1.0, 0.01, 0.0, 0.9, 1.0, 0.01, 1.0, 0.0, 255.0, 1.0, 0.0, 0.36, 0.0, 0.0, 0.0, 0.0, 0.32, 1.0, negative
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 99.0, 1.0, 0.01, 0.0, 0.91, 1.0, 0.01, 1.0, 0.0, 255.0, 1.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.36, 1.0, negative
0.0, tcp, pm_dump, SF, 44.0, 192.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 109.0, 1.0, 0.01, 0.0, 0.91, 0.0, 0.01, 1.0, 0.0, 255.0, 1.0, 0.0, 0.44, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, negative
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 120.0, 1.0, 0.01, 0.0, 0.92, 1.0, 0.01, 1.0, 0.0, 255.0, 1.0, 0.0, 0.48, 0.0, 0.0, 0.0, 0.0, 0.44, 1.0, negative
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 130.0, 1.0, 0.01, 0.0, 0.92, 1.0, 0.01, 1.0, 0.0, 255.0, 1.0, 0.0, 0.52, 0.0, 0.0, 0.0, 0.0, 0.47, 1.0, negative
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 140.0, 1.0, 0.04, 0.0, 0.88, 1.0, 0.01, 0.99, 0.0, 255.0, 1.0, 0.0, 0.56, 0.0, 0.0, 0.02, 0.0, 0.49, 1.0, negative
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 150.0, 1.0, 0.04, 0.0, 0.88, 1.0, 0.01, 0.99, 0.0, 255.0, 1.0, 0.0, 0.6, 0.0, 0.0, 0.02, 0.0, 0.52, 1.0, negative
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 160.0, 1.0, 0.04, 0.0, 0.89, 1.0, 0.01, 0.99, 0.0, 255.0, 1.0, 0.0, 0.64, 0.0, 0.0, 0.02, 0.0, 0.56, 1.0, negative
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 170.0, 1.0, 0.04, 0.0, 0.89, 1.0, 0.01, 0.99, 0.0, 255.0, 1.0, 0.0, 0.67, 0.0, 0.0, 0.02, 0.0, 0.6, 1.0, negative
